,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
2254806,0x80e84ef3c60fdbc5:0xfdd1cff3b93fc71a,American Pizza,"American Pizza, 100 W Channel Islands Blvd, Oxnard, CA 93033",34.1730962,-119.1783407,"Pizza restaurant, Delivery Restaurant",4.6,148,Closed ⋅ Opens 10AM,"0x80e84e8ce48bd267:0x99e0b03c1862d25c, 0x80e84ec2bec282a3:0x4427eb0720e79922, 0x80e84e8256f1d673:0x485510c3a773978a, 0x80e84ef3246c3b89:0x47fb04447549815d, 0x80e84e72d1ebee9b:0x4ca793fbc4e778ea","Delivery, Takeout",Dining Venue,100 W Channel Islands Blvd,Oxnard,Ventura
2254892,0x80dcb3e66193f8c7:0xc1967064dc19a8b,Tacos el chapulín Cain,"Tacos el chapulín Cain, 6104 Mission Boulevard, Riverside, CA 92509",34.0038665,-117.4214926,Restaurant,4.2,46,Closed ⋅ Opens 5PM,Sin resultados vinculados,"Takeout, Delivery",Dining Venue,6104 Mission Boulevard,Riverside,Riverside
2255577,0x80d95776e9492dad:0x1038bba17c848569,Ice Box,"Ice Box, 4649 College Ave, San Diego, CA 92115",32.7624246,-117.0663445,"Bubble tea store, Asian fusion restaurant, Cafe, Dessert shop, Fast food restaurant, Restaurant",4.6,58,Closed ⋅ Opens 11AM,"0x80d956970b7feae5:0xbf2bb5c2111fc26f, 0x80dbff99e5f2e799:0x5658de2f8c242005, 0x80dbff97a6ab681d:0xc767d518bc8867d3, 0x80d95357007d929b:0x69f909dcb00d938f, 0x80d954206d215a19:0x81fba09b3307722d","Takeout, Delivery, Dine-in",Dining Venue,4649 College Ave,San Diego,San Diego
2255752,0x80c2b903cc8d9bfb:0x2c807e5b23ba3e95,Little Amsterdam Coffee,"Little Amsterdam Coffee, 1412 S Redondo Blvd, Los Angeles, CA 90019",34.04759,-118.349258,Coffee shop,4.7,75,Closed ⋅ Opens 7AM,"0x80c2b95d08e4e371:0x51835d1a591bb211, 0x80c2b89024b7e3b7:0x3d0dfb7e18845436, 0x80c2b915e6fe366b:0xe6ff664e0379e895, 0x80c2b921f5250e47:0xdc4f5f95b4a9ddaa, 0x80c2b8e061498215:0xfc370c18510ad54b","Delivery, Takeout, Dine-in",Café & Coffee,1412 S Redondo Blvd,Los Angeles,Los Angeles
2256224,0x80e8321c3571cded:0x8803ace541b01e5,Szechuwan Garden,"Szechuwan Garden, 484 Los Angeles Ave # 124, Moorpark, CA 93021",34.2781439,-118.8751528,Sichuan restaurant,4.4,157,Closed ⋅ Opens 11:30AM,"0x80e82ece18902fb5:0x372f7f6c86c102bf, 0x80e82def68c02aed:0x7d6f4a1fae2f5ca3, 0x80e832023a4fe1f1:0x8b1d77b5f59c717b, 0x80e8321c56e2ca21:0x8d06a9c7283131c3","Delivery, Takeout",Dining Venue,484 Los Angeles Ave # 124,Moorpark,Ventura
2256234,0x80d94eb99ac2b287:0x940c8b34689b9aa9,Botanas Locas,"Botanas Locas, 3323 Palm Ave, San Diego, CA 92154",32.5832205,-117.0609308,Fast food restaurant,4.5,148,Closed ⋅ Opens 12PM,"0x80d94dd54cc7a965:0x6644eef53093053f, 0x80d94ed0c666e3e9:0x21f77f6ba0507696, 0x80d954432d9aeed5:0xc858b761ff03b297","Takeout, Delivery",Dining Venue,3323 Palm Ave,San Diego,San Diego
2256277,0x80c2c71c8892e697:0x9f95edd1d05b6437,Dinette,"Dinette, 1608 1/2 Sunset Blvd, Los Angeles, CA 90026",34.0767352,-118.2578256,"American restaurant, Restaurant",4.3,105,Closed ⋅ Opens 8AM,0x80c2c71c8684537b:0xb523875b4660f982,"Outdoor seating, Takeout, Dine-in",Dining Venue,1608 1/2 Sunset Blvd,Los Angeles,Los Angeles
2256364,0x80c32b5988d0cbbd:0xda3e53d037dbf06a,Cafe 101,"Cafe 101, 2763 S Diamond Bar Blvd, Diamond Bar, CA 91765",33.9758137,-117.8379861,Taiwanese restaurant,4.1,47,Closed ⋅ Opens 11AM,"0x80c32c67c00df17d:0xb3265b8dd4354358, 0x80c32bd4773778e9:0x887f4fa13c397baf, 0x80c32c671d643e2f:0x3c5aa8ae876a048c, 0x80c32d7b21474405:0xcf83c645002faf0e, 0x80c32c92130277fd:0xeca33cc4f820b57","Outdoor seating, Delivery, Takeout, Dine-in",Dining Venue,2763 S Diamond Bar Blvd,Diamond Bar,Los Angeles
2257253,0x80eae5e1d135f829:0x736ea2bac26128a,Marisco's La Gloria,"Marisco's La Gloria, 14314 County Line Rd, Delano, CA 93215",35.7907017,-119.2517593,Seafood restaurant,4.5,48,Closed ⋅ Opens 9AM,"0x80eae59510b1b0f1:0x97c1d95ace12f168, 0x80eae76408a36cad:0x65fe7da4a35e38, 0x80eae599fd166d53:0x84cb1bd350d72ae6, 0x80eae59516a40699:0x749f0807284bb545","Takeout, Delivery",Dining Venue,14314 County Line Rd,Delano,Kern
2257257,0x80ea6ad9d31242df:0x8f9a8dcab3793d,Birrieria El Efectivo,"Birrieria El Efectivo, 318 White Ln, Bakersfield, CA 93307",35.3181101,-119.0057108,Restaurant,4.4,40,Closed ⋅ Opens 8AM,"0x80ea6a5c154d4781:0x792ce7792d34585f, 0x80ea6aec67953017:0xd70f9657fb70ba70, 0x80ea6bf00dd1cfc7:0x8adeaad98284f2a4, 0x80ea6c0ea7f0c3b3:0x735b06667df2336f, 0x80ea69dedfebc6f5:0xdfbb1f56bc16cd76","Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,318 White Ln,Bakersfield,Kern
2257260,0x80ea6b55bd66ce93:0x56556b130cbf5245,Subway,"Subway, 2303 S Union Ave Suite E-7, Bakersfield, CA 93307",35.321485,-119.0043071,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3.8,38,Closed ⋅ Opens 8AM,"0x80ea695b209c623f:0xc479a9efd9adb2fd, 0x80ea6987e91ad745:0xaf10fdb5a737f93f, 0x80ea6a92f7bac797:0xfce2e7492553a6b5, 0x80ea69e057eac35d:0xc632f64c84c8d547","Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,2303 S Union Ave Suite E-7,Bakersfield,Kern
2257349,0x808580611ac991e7:0x70334b64b92332e,5th Ave Deli & Market,"5th Ave Deli & Market, 4 Embarcadero Center, San Francisco, CA 94111",37.7951125,-122.396193,Sandwich shop,4.8,38,Closed ⋅ Opens 6:30AM,"0x808580881fe83971:0xe9f54398a77e6015, 0x80858061d8e00f5f:0x5738213331705e0f, 0x80858063cea2294d:0xf21560e4b76ec356, 0x80858083ba147b83:0x7f293054a3647a6, 0x80858066a8b9520d:0x47689ad2e32a0afe","Delivery, Takeout",Sandwich Bar,4 Embarcadero Center,San Francisco,San Francisco
2257590,0x808fcc44bd6d1b31:0x85463163d5727eff,L & M Bakery & Deli,"L & M Bakery & Deli, 1741 Berryessa Rd # A, San Jose, CA 95133",37.3750984,-121.8727746,"Deli, Bakery",3.9,15,Closed ⋅ Opens 8AM,"0x808fcd069b8ca34b:0x3dff2e443bf1341e, 0x808e32bd1a846f65:0xe0a84158369e7632, 0x808fca9388013dff:0xa15c48ca17da3a9c, 0x808fcce9fe70ec75:0xc764976c753e179b, 0x808e32bcf93f7485:0x637917144090fed","In-store shopping, Takeout, Delivery",Bakery Shop,1741 Berryessa Rd # A,San Jose,Santa Clara
2257712,0x80c2cd03b73d2723:0xc01b2ba0bef30288,Pasteleria Tres Luceros,"Pasteleria Tres Luceros, 12934 Paramount Blvd, Downey, CA 90242",33.9190014,-118.1555124,Bakery,4.4,47,Closed ⋅ Opens 4AM,"0x80c2ccfa37620ad1:0x7846229005e77153, 0x80c2ce7a33cc4aeb:0xcc1d1a592a915f6b, 0x80c2cf5976a827c1:0xef77a9b0b7041c02, 0x80c2cd03fd8f6009:0xe67f48507d469f71, 0x80c2cdb3e980b0ad:0xc8ec9c988b15230","In-store shopping, Takeout, Delivery",Bakery Shop,12934 Paramount Blvd,Downey,Los Angeles
2257910,0x808f7f8e7e198c8f:0xbe8938a416407540,El Nuevo Frutilandia,"El Nuevo Frutilandia, 3077 24th St, San Francisco, CA 94110",37.7524332,-122.4134542,"Restaurant, Caribbean restaurant, Cuban restaurant, Puerto Rican restaurant",4.6,18,Closed ⋅ Opens 4PM,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,3077 24th St,San Francisco,San Francisco
2258520,0x80dcdf329cfbd4b3:0x9906a83ea09d9877,Tacos El Compita,"Tacos El Compita, 2980 McClintock Way, Costa Mesa, CA 92626",33.6799819,-117.9109538,"Taco restaurant, Mexican restaurant",4.7,27,Closed ⋅ Opens 11AM,"0x80dcd92d9e323709:0x17a798ab0758bae, 0x80dcdf5c0ed650b5:0xc771f7f03f0b3963, 0x80dcdf0a35e8d4dd:0xeb14462187c893a5, 0x80dcdf9f32662807:0x25f32bb293f56d04, 0x80dd26f477447671:0x8c168b66c3942b8f","Takeout, Dine-in, Delivery",Dining Venue,2980 McClintock Way,Costa Mesa,Orange
2258894,0x80dcd82707e74c97:0xe5cb6fdac5071a9b,Rocky Mountain Chocolate Factory,"Rocky Mountain Chocolate Factory, The Outlets at, 3112, 20 City Blvd W A-215, Orange, CA 92868",33.7830985,-117.8922685,"Chocolate shop, Chocolate cafe, Dessert shop, Gift basket store",4.4,38,Closed ⋅ Opens 11AM,"0x80dcd50425555555:0x31b53dae183c5d71, 0x80dcd827043a8067:0x665f450005009c2, 0x80dcd82707e74c97:0x96d235044d3880b, 0x80dcd73163870091:0x75422e95e1388620","Delivery, In-store pickup, In-store shopping, Takeout",Café & Coffee,"The Outlets at, 3112, 20 City Blvd W A-215",Orange,Orange
2258924,0x80dcd85ecc59894b:0x9b2061a3632dc17,Tacos y Birria Miguelito #1,"Tacos y Birria Miguelito #1, 1921 W 2nd St, Santa Ana, CA 92703",33.7463251,-117.895806,Mexican restaurant,4.5,168,Closed ⋅ Opens 8AM,"0x80dcd8f915817dcf:0xc6cf5eac16cb8f92, 0x80dcd8ecb1ad44eb:0x5d30a1584f6134cf, 0x80dcd8581bc068f1:0xf8e44a96e07ace92, 0x80dd2787d2d47b61:0xee154e342661562c, 0x80dcd9afc88bb9ff:0x74744fbd22a0ca4b","Takeout, Dine-in, Delivery",Dining Venue,1921 W 2nd St,Santa Ana,Orange
2258944,0x80dcd916263ba2af:0xcef6409586d3739,Taqueria Mexico,"Taqueria Mexico, 13217 Harbor Blvd, Garden Grove, CA 92843",33.7711434,-117.9210212,Mexican restaurant,4.2,28,Closed ⋅ Opens 9AM,"0x80dcd742138b0553:0xcf7a95f6bcdea9a0, 0x80dcd7f19d18fef3:0xfcde7c7eb01e9fa9, 0x80dd28feed18bd1b:0x35591430bd090195, 0x80dd2896cc2c4375:0x96dc8823cadb0500","Delivery, Takeout, Dine-in",Dining Venue,13217 Harbor Blvd,Garden Grove,Orange
2259089,0x80857fa9ec99cc29:0x7edbee1daf5f894a,Munch India,"Munch India, 3015 Shattuck Ave, Berkeley, CA 94705",37.8546878,-122.2662705,Indian restaurant,4.9,28,Closed ⋅ Opens 3PM,"0x80857e91e743918f:0xae9ff0fef50fef03, 0x80857dc56974fbf9:0xa5bb874d9540af47, 0x80857c2c1196fa43:0x3dd3b3fc1bc14bf, 0x80857dce09d82185:0x2d33ddb49669d40c, 0x80857e91e156177b:0xfd9e98cd38626b55","Delivery, Takeout",Dining Venue,3015 Shattuck Ave,Berkeley,Alameda
2259225,0x809ad192d48056f5:0xeabb9023ee258dd2,3 Hermanas,"3 Hermanas, 3260 J St, Sacramento, CA 95816",38.5717916,-121.4626379,Mexican restaurant,4.4,128,Closed ⋅ Opens 11AM,"0x809ad0c22ed6c3ff:0x6e86fa1381ca80f0, 0x809ad0c0199bd98b:0xab12bf14a98192bf, 0x809ad09458c96b35:0x7af9f0cb40c508ae, 0x809ad09a62793b33:0x893998857d07bd28","Outdoor seating, Curbside pickup, No-contact delivery, Takeout, Dine-in, Delivery",Dining Venue,3260 J St,Sacramento,Sacramento
2259548,0x809ad03172a57617:0xd00f7c8458bdf905,Jen Kitchen Chinese Restaurant,"Jen Kitchen Chinese Restaurant, 2362 Fruitridge Rd, Sacramento, CA 95822",38.5243751,-121.4842272,Chinese restaurant,4.6,115,Closed ⋅ Opens 11AM,"0x809ad0716fe383d5:0xc7cd10a93b9f756a, 0x809adaaa9e0f2555:0xf0de786cde971212, 0x809ad04491b2ff73:0xde36c25b5c31fdb0, 0x809acff6ff57b0bf:0xc5c09b041fcf410d","Delivery, Takeout, Dine-in",Dining Venue,2362 Fruitridge Rd,Sacramento,Sacramento
2259611,0x80dcd6a86908a553:0xbf44d2163d6c58b4,Bigeye Poke and Grill,"Bigeye Poke and Grill, 660 N Rose Dr, Placentia, CA 92870",33.8770238,-117.8420172,"Hawaiian restaurant, Health food restaurant, Sushi restaurant",4.6,68,Closed ⋅ Opens 11:30AM,"0x80dcd459e55a9759:0x2fab98d306d67d6b, 0x80dcd5f7ed5c778d:0xa82b47a34a974d5e, 0x80dcd735ee620b71:0x9b011011d3023f7a, 0x80dcd7978f3a69d1:0xd9ca130f89e1b855, 0x80dcdf0142421659:0x637e82dbe0e3bf3e","Delivery, Takeout",Dining Venue,660 N Rose Dr,Placentia,Orange
2259744,0x80c2b93c664e083b:0x801337946b04c31c,Johnie's Coffee Shop,"Johnie's Coffee Shop, 6099 Wilshire Blvd, Los Angeles, CA 90048",34.06329,-118.3615319,"Historical landmark, Restaurant",4.0,33,None,Sin resultados vinculados,Sin dato,Dining Venue,6099 Wilshire Blvd,Los Angeles,Los Angeles
2259837,0x80857e004117169d:0x5b727e561cf0f2f7,Star Pizza & Deli,"Star Pizza & Deli, 4514 Market St, Oakland, CA 94607",37.8347474,-122.2728302,Pizza restaurant,4.2,22,Closed ⋅ Opens 11AM,"0x808f8743170ef8ad:0xeaac7e65e32ae18b, 0x80857fd7ba977769:0xb527604dd296ef01, 0x808f80ab843e6255:0xca47714482119449, 0x80857e68a424b453:0xbdc92e6845947ed9, 0x80857defe5d08a1b:0x9edc652a8cc99057","Delivery, Takeout",Dining Venue,4514 Market St,Oakland,Alameda
2259838,0x808fbf50854abfcd:0x35e90702e9a6d7e,Crepe & Tea Bar,"Crepe & Tea Bar, 2086 Newpark Mall, Newark, CA 94560",37.5264313,-122.0010041,"Crêperie, Restaurant",4.5,48,Closed ⋅ Opens 10AM,"0x808fbf5e0af636c1:0xfcb46c7bcb6cdc3, 0x808fc08e2e9da58b:0x6d918ee773eb3a56, 0x808fcb0678576237:0xd576ac9c6df4d5ba, 0x808fbfb0e905ecd1:0x937b63f34d792155","Delivery, In-store shopping, Takeout",Dining Venue,2086 Newpark Mall,Newark,Alameda
2259896,0x808f7fa5822e4725:0x90eeeb2d97b06b95,El Capitan Taqueria,"El Capitan Taqueria, 4150 18th St, San Francisco, CA 94114",37.7609317,-122.436028,Mexican restaurant,3.9,53,Closed ⋅ Opens 10AM,"0x808f7e13646f3395:0x9a20e687a0c4e650, 0x808580db21615e13:0x18677ad1df1065a3, 0x80858727273ac2a1:0xb40c9545271c4436, 0x808f7e236d220c81:0x76db735524494ae","Outdoor seating, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,4150 18th St,San Francisco,San Francisco
2259979,0x80dcd72d00359169:0xbf7640b7866e4ec2,Marri's Pizza,"Marri's Pizza, 2658 N Santiago Blvd, Orange, CA 92867",33.8327223,-117.8344054,Italian restaurant,4.5,112,Closed ⋅ Opens 11AM,"0x80dd2826e0a801af:0x69dbd9995e905439, 0x80dcd74e19f6cc6d:0x588e3a12106e52fd, 0x80dcd734331e19d9:0x3a9f5935fde60077, 0x80dcd9f994e319cf:0xbbb3792ecd255774","No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,2658 N Santiago Blvd,Orange,Orange
2260234,0x808fe901ae3a3499:0x4d3365f530a2c513,Golden State Taqueria,"Golden State Taqueria, 4001 Santa Rita Rd #1A, Pleasanton, CA 94588",37.697633,-121.8748147,Restaurant,3.9,48,Closed ⋅ Opens 8AM,"0x808fe939c4c204ab:0x6e1f322ec564f964, 0x808fe93a6bd8bce9:0xef0b3a1226cc1a4a, 0x808fe9bd248d33e3:0xdcbb49e64ad08e63, 0x15325d6b4f3b21d9:0x25ca248f02515d10","Delivery, Takeout, Dine-in",Dining Venue,4001 Santa Rita Rd #1A,Pleasanton,Alameda
2260484,0x808f91230c38199b:0xa10690fca971060f,Pick-A-Deli,"Pick-A-Deli, 23595 Cabot Blvd #101, Hayward, CA 94545",37.6397014,-122.1350634,"Deli, Takeout Restaurant, Restaurant",4.5,58,Closed ⋅ Opens 7AM,"0x808f90e10f1d5c95:0xc1fc3599b4ec131, 0x808f92264aeaebcf:0x77976b68d7c95ac4, 0x808f96d76dc1cb33:0xdc4919287bb22a9a, 0x808f912501640899:0xc70f971622b13e77, 0x808f95b3ef05c111:0x74536056a6b26766","Delivery, In-store pickup, In-store shopping, Takeout",Dining Venue,23595 Cabot Blvd #101,Hayward,Alameda
2260670,0x80c2ce1e0a0475ed:0x3e4c07594f202fad,Marin Cafe,"Marin Cafe, 487 Washington Blvd, Montebello, CA 90640",33.9921696,-118.1134969,Cafe,4.8,95,Closed ⋅ Opens 7AM,"0x80c2d1971be2ed41:0xe4d62f625016b8af, 0x80c2ce2da426a0e5:0xc88233e29573da9, 0x80c2cfd1e08dfeb5:0x6fd3db3817e9b100","Takeout, Delivery",Café & Coffee,487 Washington Blvd,Montebello,Los Angeles
2260671,0x80c32badc4f963fb:0xf86212c02f519103,The Curry Pizza Company #6,"The Curry Pizza Company #6, 376 S Lemon Ave, Walnut, CA 91789",34.0110252,-117.8594026,Restaurant,4.8,26,Closed ⋅ Opens 10:30AM,Sin resultados vinculados,"No-contact delivery, Delivery, Takeout",Dining Venue,376 S Lemon Ave,Walnut,Los Angeles
2260672,0x80c32b7128009081:0xabc67abd688449b4,Colima Burgers,"Colima Burgers, 19811 Colima Rd #520, Walnut, CA 91789",33.9878451,-117.8699447,Hamburger restaurant,4.6,17,Closed ⋅ Opens 7AM,Sin resultados vinculados,Takeout,Dining Venue,19811 Colima Rd #520,Walnut,Los Angeles
2260810,0x80c2daaae3e9264b:0xbff140942fd10043,Kam Hong Garden,"Kam Hong Garden, 848 E Garvey Ave, Monterey Park, CA 91755",34.0623969,-118.110433,Chinese restaurant,4.5,48,Closed ⋅ Opens 11AM Thu,"0x80c2daaaf937c195:0x6a9ea3a8bc43d365, 0x80c2c55cfbfaa3c3:0x6c98b0ef669bbaf, 0x80c2c5f9d2f2b9c9:0xa6637b14d07b24e2, 0x80c2dab5660c6199:0x8cb5d25611111bd, 0x80c2c55b97e9013f:0xac79024b4d412ddf","Takeout, Dine-in, Delivery",Dining Venue,848 E Garvey Ave,Monterey Park,Los Angeles
2260884,0x80dd35aff2f2382d:0x756a685422e42df9,Rice Kitchen,"Rice Kitchen, 23918 S Avalon Blvd, Carson, CA 90745",33.8076558,-118.2637166,"Chinese restaurant, Delivery Restaurant, Restaurant",4.5,98,Closed ⋅ Opens 11AM,"0x80dd35a3b6899a3d:0x57f80c49682d3f63, 0x80dd35af862e0041:0x6baa45f9825b0de9, 0x80dd35a89b2d687f:0xaebbe463cdda3391, 0x80dd358cef584093:0x4fcd084a01700a18, 0x80dd3514d0ab3a73:0xf93b61380df9a187","Delivery, Takeout",Dining Venue,23918 S Avalon Blvd,Carson,Los Angeles
2261794,0x8090156449c3d65d:0x8ceb2e00f8f89fe7,Quiznos,"Quiznos, 209 E Louise Ave, Lathrop, CA 95330",37.8120809,-121.2923356,"Sandwich shop, Caterer, Deli, Fast food restaurant, Restaurant",4.2,148,Closed ⋅ Opens 10AM,"0x8090156adfba490d:0x8640226a98a7d179, 0x8090156440acaa5b:0x3581ea806443c6ed, 0x809015643c558435:0xf29a7f8a26207994, 0x80901583d84c65cb:0xec2b4b580d7bac19, 0x8090156454188077:0x69a79e8880433e64","Delivery, Takeout",Dining Venue,209 E Louise Ave,Lathrop,San Joaquin
2261910,0x80dd2dd6a239d9f3:0xea56ec874b4d16de,El Costeño Mexican Kitchen Tacos & Seafood,"El Costeño Mexican Kitchen Tacos & Seafood, 22108 Norwalk Blvd, Hawaiian Gardens, CA 90716",33.8272758,-118.0715382,Mexican restaurant,4.7,47,Closed ⋅ Opens 9AM,"0x80dd2dd1b99ed90b:0x47419d2694f0ef7f, 0x80dd2dd04b253bc7:0x46df5adce96c565f, 0x80dd2dd1fab3d959:0x498c73cae79cc750, 0x80dd2dd00d097aa7:0xa973e0865e463746, 0x80dd2dd253ae0097:0x5f50b5037ac756eb","Takeout, Dine-in, Delivery",Dining Venue,22108 Norwalk Blvd,Hawaiian Gardens,Los Angeles
2262064,0x808fe969912aee0b:0xb1f41064cb059687,The Bagel Cafe,"The Bagel Cafe, 927 Main St, Pleasanton, CA 94566",37.6659311,-121.8739135,Cafe,4.9,54,Closed ⋅ Opens 7AM,"0x808fe99540ef3f9b:0x787ae8b07b6f451, 0x808fe90c049ca81d:0x5d3b54774f6aab9d, 0x808fe9a331ec9dcf:0xd329135454fdf8e0, 0x808fe99540cc046b:0xbcd0c5c1745e9b7a","Takeout, Delivery",Café & Coffee,927 Main St,Pleasanton,Alameda
2262144,0x80dcb75b411c7047:0x4cd820370c29e76c,Juice It Up!,"Juice It Up!, 3380 La Sierra Ave #107, Riverside, CA 92503",33.8961252,-117.4720428,"Juice shop, Health food restaurant, Restaurant",4.1,46,Closed ⋅ Opens 9AM,"0x80dcb0cb78e40ab1:0xf0489d415c31f7de, 0x80dcb1b1c9d49627:0xafcc5a674adc8087, 0x80dcb77a6033e999:0xe61048762dac73b8, 0x80dcafb16b54192f:0x73432e9afcd01eaa, 0x80dca51a4c267c17:0xf3d927a24793cd34","Delivery, Takeout",Dining Venue,3380 La Sierra Ave #107,Riverside,Riverside
2262394,0x808fc65d38f25317:0x6689782249ffc16,Straw Hat Pizza,"Straw Hat Pizza, 46350 Mission Blvd, Fremont, CA 94539",37.4924256,-121.9257557,"Pizza restaurant, Italian restaurant, Restaurant",2.7,38,Closed ⋅ Opens 10:30AM,"0x808fc65d2e17f485:0xf28dacc8c9723427, 0x808fc0d278dee0fd:0x9f82de5bfaade819, 0x808fbfc7878995ed:0x52a245156c7c2a8a","Delivery, Takeout",Dining Venue,46350 Mission Blvd,Fremont,Alameda
2262824,0x80dd4a5b41c2f191:0x6685fc73374c7424,"Ryo Zan Paku, Izakaya & Beer Bar","Ryo Zan Paku, Izakaya & Beer Bar, 2589 Pacific Coast Hwy, Torrance, CA 90505",33.7913764,-118.329803,"Izakaya restaurant, Bar, Delivery service, Japanese restaurant, Modern izakaya restaurants, Restaurant, Yakiniku restaurant, Yakitori restaurant",4.3,138,Closes soon ⋅ 2AM ⋅ Reopens 6PM,"0x80dd4a5bf0e4de2b:0x127528b2350d2688, 0x80dd4abb7598b7c5:0x659863c45b360ee5, 0x80dd4b214fc1cd4f:0x90499c86f31e3693, 0x80c2b4d3ed7fe9d5:0xe6426e7c2602447c, 0x80dd4a5b41c2f191:0x6685fc73374c7424","Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,"Ryo Zan Paku, Izakaya & Beer Bar, 2589 Pacific Coast Hwy",Torrance,Los Angeles
2262836,0x80dd34fe3c9dfa25:0xce71a0c8bf49d373,Rebecca's Cafe,"Rebecca's Cafe, 1230 E 223rd St # 209, Carson, CA 90745",33.822955,-118.2515848,Lunch restaurant,4.3,67,Closed ⋅ Opens 9AM,"0x80c2cacd3fd9ddfb:0xa12dba3fbe04ab4d, 0x80dd35238bfefe77:0xcd5eeefe3653354a, 0x80dd351ab853d8b1:0xfcb7f65a28221341, 0x80dd339ed992752b:0x56b3129144070696, 0x80dd34e2dffdfa3d:0xb6ddad445e3ed0d5","Outdoor seating, Takeout, Dine-in",Dining Venue,1230 E 223rd St # 209,Carson,Los Angeles
2262950,0x808f80b50edf32ef:0x5173bcbe8a60dd66,Fortune Cookie Factory,"Fortune Cookie Factory, 261 12th St, Oakland, CA 94607",37.8011,-122.267793,"Cookie shop, Bakery, Dessert shop, Food manufacturer, Gift shop, Tourist attraction",4.9,33,Closed ⋅ Opens 10AM,"0x808f8082c225d645:0x94609bd87111c156, 0x808580f35d997251:0xeaf42e49647fd390, 0x808f80b5e70abc6d:0xa3dae5833bf0dc53","Curbside pickup, In-store shopping, Takeout, Delivery",Bakery Shop,261 12th St,Oakland,Alameda
2262988,0x80c2d7858c262fb9:0xa886c5657142ff73,BakersBodega Express,"BakersBodega Express, 4299 Maine Ave, Baldwin Park, CA 91706",34.09035,-117.961492,"Baking supply store, Bakery equipment, Cake decorating equipment shop",4.5,208,Closed ⋅ Opens 8AM,"0x80c2d95fe3206ac5:0x241e5f9c4dbb02d1, 0x80c32f574f1c154b:0xdb94b27e9a5a7c9, 0x80c2d4835e19cd35:0xbe15b17e83ee24d, 0x80dd2bed3bb479f9:0x208fd24917e83d6b","In-store pickup, In-store shopping",Bakery Shop,4299 Maine Ave,Baldwin Park,Los Angeles
2262990,0x80c29a567f11cd25:0xbfdcaadde1f190dd,Freudian Sip,"Freudian Sip, E University Dr, Los Angeles, CA 91325",34.2398785,-118.5271409,Coffee shop,4.1,46,Closed ⋅ Opens 7AM,"0x80c29b310644a27f:0x1ca2d17b82a9536d, 0x80c29b005c7d5fab:0x9abff449d1d9a6d6, 0x80c29b18dd6717bd:0xd5469e0573f4262, 0x80c29ba05600ea21:0x6b7bf5051f901b24","Outdoor seating, Takeout, Delivery",Café & Coffee,E University Dr,Los Angeles,Los Angeles
2263352,0x80deabb9564213df:0xed4951aafadedda3,The Kebab Shop,"The Kebab Shop, 3305 Rosecrans St, San Diego, CA 92110",32.747893,-117.2071832,Mediterranean restaurant,4.5,36,Closed ⋅ Opens 10:30AM,Sin resultados vinculados,"Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Drive-through, Takeout, Dine-in",Dining Venue,3305 Rosecrans St,San Diego,San Diego
2263358,0x80c29db31b383e69:0xb9be732d8ca266ce,Capriotti's Sandwich Shop - Chatsworth,"Capriotti's Sandwich Shop - Chatsworth, 9171 De Soto Ave Unit E, Chatsworth, CA 91311",34.237583,-118.58954,Restaurant,4.5,158,Closed ⋅ Opens 10AM,"0x80c29cc71e77c35f:0xa383dfc38bc1ca3b, 0x80c29a134a25c3ab:0x1a229aed394fe492, 0x80c29cc6d9012e3d:0xefe7afc2ce026f15, 0x80c290a8134ef30f:0xaa941b534bdbf2ee","No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,9171 De Soto Ave Unit E,Chatsworth,Los Angeles
2263363,0x808e3376b9432ae3:0x2cadd88e6454081c,Fast Pizza Branham,"Fast Pizza Branham, 1423 Branham Ln, San Jose, CA 95118",37.2592618,-121.8915209,"Pizza delivery, Chicken wings restaurant, Pizza restaurant, Restaurant",4.5,28,Closed ⋅ Opens 3PM,"0x808e335728daf6c7:0xb82c97f48101f715, 0x808e31f2b8d3c62f:0xcbe42f5146cf53dc, 0x808e33f41a8445a3:0x7f3cd636eac69a3b, 0x808e332aae888cd9:0xe885f47b50bbbe34, 0x808e34656507b3c1:0x906dadecc335e1d7","Curbside pickup, Delivery, Takeout, Dine-in",Dining Venue,1423 Branham Ln,San Jose,Santa Clara
2263447,0x80e8331aca14c229:0x5da0fa67397dd480,Taqueria El 14,"Taqueria El 14, 13826 Princeton Ave, Moorpark, CA 93021",34.2853429,-118.8724818,Taco restaurant,4.5,16,Closed ⋅ Opens 5:30PM,Sin resultados vinculados,"Takeout, Delivery",Dining Venue,13826 Princeton Ave,Moorpark,Ventura
